run,trial,action,time,Participant,EyeTracking,Screen,date,expName,
1,1,newTrial,1.4424997061723843e-05,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
1,1,submit,24.399535953998566,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
1,2,newTrial,28.395862538000074,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
1,2,submit,49.433208220998495,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
1,3,newTrial,53.43668426499789,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
1,3,submit,63.41649623500052,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
1,4,newTrial,67.42194128299889,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
1,4,submit,91.96986554799878,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
1,5,newTrial,95.97037901099975,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
1,5,submit,128.564054233997,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
1,5,submit,162.78336607599704,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
1,6,newTrial,166.78159482000046,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
1,6,submit,184.25548479699864,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
1,7,newTrial,188.25815609799974,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
1,7,submit,219.14581387299768,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
1,8,newTrial,223.14669893300015,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
1,8,submit,239.94327575100033,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
1,9,newTrial,243.94765953499882,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
1,9,submit,280.17407596799967,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
1,10,newTrial,284.1714917999998,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
1,10,break,284.1752047129994,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
2,10,newRun,372.9239936729973,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
2,10,submit,389.7168745259987,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
2,11,newTrial,393.7152577099987,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
2,11,submit,415.8774357109978,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
2,12,newTrial,419.87748237199776,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
2,12,submit,439.693100561999,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
2,12,submit,459.76293814100063,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
2,13,newTrial,463.7635939739994,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
2,13,submit,535.8017904640001,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
2,14,newTrial,539.7958807879986,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
2,14,submit,573.5538597429986,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
2,15,newTrial,577.5491442429993,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
2,15,submit,610.5124660250003,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
2,16,newTrial,614.5100887949993,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
2,16,submit,653.8824800789989,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
2,17,newTrial,657.8756111479997,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
2,17,submit,691.6436034119979,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
2,18,newTrial,695.6351921719979,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
2,18,submit,802.7267239959983,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
2,18,submit,818.0619922639999,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
2,18,submit,907.972400057999,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
2,19,newTrial,911.9679583279976,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
2,19,break,911.9716957509991,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
3,19,newRun,1025.2598418550006,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
3,19,submit,1040.8669619779976,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
3,20,newTrial,1044.8571156990001,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
3,20,submit,1073.393261882,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
3,21,newTrial,1077.3885707849986,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
3,21,submit,1100.2522410739984,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
3,22,newTrial,1104.2443136099973,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
3,22,submit,1144.084570944,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
3,23,newTrial,1148.1053740120005,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
3,23,submit,1173.8530447669982,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
3,23,submit,1183.6986195520003,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
