run,trial,action,time,Participant,EyeTracking,Screen,date,expName,
1,1,newTrial,1.0083429515361786e-05,sc2,On,eyeTrack1,2023_Feb_03_1259,ARCeyetracking,
1,1,submit,29.68440889660269,sc2,On,eyeTrack1,2023_Feb_03_1259,ARCeyetracking,
1,2,newTrial,33.68235511146486,sc2,On,eyeTrack1,2023_Feb_03_1259,ARCeyetracking,
1,2,submit,44.549511834047735,sc2,On,eyeTrack1,2023_Feb_03_1259,ARCeyetracking,
1,3,newTrial,48.54922950267792,sc2,On,eyeTrack1,2023_Feb_03_1259,ARCeyetracking,
1,3,submit,74.57986464165151,sc2,On,eyeTrack1,2023_Feb_03_1259,ARCeyetracking,
1,3,submit,115.12631101440638,sc2,On,eyeTrack1,2023_Feb_03_1259,ARCeyetracking,
1,4,newTrial,119.14234732557088,sc2,On,eyeTrack1,2023_Feb_03_1259,ARCeyetracking,
1,4,submit,159.31368240714073,sc2,On,eyeTrack1,2023_Feb_03_1259,ARCeyetracking,
,4,stop,163.31759914848953,,,,,,
